carline_id,carline_name,model,make,car_type,engine_capacity,engine_type
1,Ford EcoSport,EcoSport,Ford,SUV,1.5,Petrol
2,Ford Endeavour,Endeavour,Ford,SUV,2.0,Diesel
3,Ford Figo,Figo,Ford,Hatchback,1.2,Petrol
4,Ford Aspire,Aspire,Ford,Sedan,1.5,Petrol
5,Ford Mustang,Mustang,Ford,Sports,5.0,Petrol
6,Toyota Innova,Innova,Toyota,MPV,2.4,Diesel
7,Toyota Fortuner,Fortuner,Toyota,SUV,2.8,Diesel
8,Toyota Glanza,Glanza,Toyota,Hatchback,1.2,Petrol
9,Toyota Camry,Camry,Toyota,Sedan,2.5,Hybrid
10,Toyota Hilux,Hilux,Toyota,Pickup,2.8,Diesel
11,Hyundai Creta,Creta,Hyundai,SUV,1.5,Petrol
12,Hyundai Venue,Venue,Hyundai,SUV,1.2,Petrol
13,Hyundai i20,i20,Hyundai,Hatchback,1.2,Petrol
14,Hyundai Verna,Verna,Hyundai,Sedan,1.5,Petrol
15,Hyundai Alcazar,Alcazar,Hyundai,SUV,1.5,Diesel
16,Maruti Swift,Swift,Maruti,Hatchback,1.2,Petrol
17,Maruti Baleno,Baleno,Maruti,Hatchback,1.2,Petrol
18,Maruti Brezza,Brezza,Maruti,SUV,1.5,Petrol
19,Maruti Ertiga,Ertiga,Maruti,MPV,1.5,Petrol
20,Maruti Grand Vitara,Grand Vitara,Maruti,SUV,1.5,Hybrid
21,Honda City,City,Honda,Sedan,1.5,Petrol
22,Honda Amaze,Amaze,Honda,Sedan,1.2,Petrol
23,Honda Elevate,Elevate,Honda,SUV,1.5,Petrol
24,Honda WR-V,WR-V,Honda,SUV,1.2,Petrol
25,Tata Nexon,Nexon,Tata,SUV,1.5,Petrol
26,Tata Punch,Punch,Tata,SUV,1.2,Petrol
27,Tata Harrier,Harrier,Tata,SUV,2.0,Diesel
28,Tata Safari,Safari,Tata,SUV,2.0,Diesel
29,Tata Altroz,Altroz,Tata,Hatchback,1.2,Petrol
30,Mahindra XUV700,XUV700,Mahindra,SUV,2.0,Petrol
31,Mahindra Scorpio-N,Scorpio-N,Mahindra,SUV,2.2,Diesel
32,Mahindra Thar,Thar,Mahindra,SUV,2.0,Diesel
33,Mahindra XUV300,XUV300,Mahindra,SUV,1.2,Petrol
34,Kia Seltos,Seltos,Kia,SUV,1.5,Petrol
35,Kia Sonet,Sonet,Kia,SUV,1.2,Petrol
36,Kia Carens,Carens,Kia,MPV,1.5,Petrol
37,Kia EV6,EV6,Kia,SUV,0.0,Electric
38,MG Hector,Hector,MG,SUV,1.5,Petrol
39,MG Astor,Astor,MG,SUV,1.5,Petrol
40,MG ZS EV,ZS EV,MG,SUV,0.0,Electric
41,Skoda Kushaq,Kushaq,Skoda,SUV,1.5,Petrol
42,Skoda Slavia,Slavia,Skoda,Sedan,1.5,Petrol
43,Skoda Kodiaq,Kodiaq,Skoda,SUV,2.0,Petrol
