order_id,carline_id,colour_id,sales_person_id,region_id,sales_date,order_qty,price_per_unit,total_sales
1,26,2,44,8,2025-01-21,1,835194.11,835194.11
2,6,2,2,6,2025-08-23,1,2208556.41,2208556.41
3,28,2,49,8,2025-11-30,1,2473715.67,2473715.67
4,13,1,23,9,2025-05-21,1,554487.8,554487.8
5,12,1,6,6,2025-07-11,1,993672.9,993672.9
6,26,7,15,8,2022-06-13,1,3732066.26,3732066.26
7,36,4,11,4,2023-03-06,1,2673634.92,2673634.92
8,27,1,35,8,2022-12-01,1,3572176.53,3572176.53
9,12,2,50,8,2023-04-15,1,4368617.56,4368617.56
10,34,1,37,9,2025-10-09,1,3967602.94,3967602.94
11,8,9,38,5,2023-03-26,1,847292.01,847292.01
12,43,9,10,7,2025-10-25,1,1613547.77,1613547.77
13,4,5,56,11,2025-10-25,3,1119781.22,3359343.66
14,28,6,28,3,2022-01-07,1,2930727.94,2930727.94
15,41,5,7,9,2023-09-04,1,4848787.06,4848787.06
16,35,3,50,10,2022-01-02,1,2770086.24,2770086.24
17,25,3,52,4,2022-04-29,1,2477449.06,2477449.06
18,12,8,49,6,2022-09-15,1,2998519.0,2998519.0
19,7,2,28,12,2025-01-09,1,3384263.96,3384263.96
20,31,3,24,5,2024-11-25,1,3747435.94,3747435.94
21,12,5,1,1,2025-07-16,1,1072409.5,1072409.5
22,4,3,18,7,2023-03-15,1,774140.36,774140.36
23,23,5,31,8,2023-01-25,2,3824044.94,7648089.88
24,6,3,4,7,2025-08-16,1,2793146.53,2793146.53
25,6,12,13,6,2022-10-15,1,2160961.46,2160961.46
26,13,4,36,1,2025-08-28,2,568757.43,1137514.86
27,43,13,11,5,2024-09-12,2,4788761.54,9577523.08
28,11,3,17,11,2024-07-20,1,2398041.54,2398041.54
29,13,10,32,3,2023-08-31,1,753592.41,753592.41
30,11,1,4,6,2024-10-26,1,1067207.59,1067207.59
31,22,11,5,7,2023-04-27,1,826241.93,826241.93
32,17,5,6,5,2025-04-10,1,732814.99,732814.99
33,24,6,17,5,2025-10-07,1,2135110.89,2135110.89
34,19,1,37,12,2022-05-31,2,2398621.35,4797242.7
35,23,3,16,4,2022-11-20,1,2938950.7,2938950.7
36,23,11,43,9,2023-09-06,3,2111244.77,6333734.31
37,40,2,48,6,2023-07-12,2,1887315.74,3774631.48
38,13,7,33,6,2022-04-15,1,552549.99,552549.99
39,6,1,41,12,2022-11-27,1,2212635.04,2212635.04
40,23,1,10,6,2024-01-27,1,2620685.76,2620685.76
41,25,3,51,12,2022-03-23,1,1280549.66,1280549.66
42,38,1,27,12,2022-11-13,1,1735011.51,1735011.51
43,11,2,12,8,2023-11-12,1,1471319.37,1471319.37
44,17,2,45,1,2022-03-21,1,636474.07,636474.07
45,36,4,51,9,2023-04-02,1,1388755.27,1388755.27
46,2,12,18,4,2024-11-09,1,1676640.3,1676640.3
47,43,1,12,6,2023-06-28,2,3424317.8,6848635.6
48,2,10,33,2,2025-03-26,1,3329096.2,3329096.2
49,10,5,44,8,2024-12-11,1,2101517.8,2101517.8
50,27,5,21,5,2023-08-29,2,1326250.19,2652500.38
51,24,3,12,7,2023-09-09,1,1635877.34,1635877.34
52,17,2,39,7,2024-08-10,1,694563.95,694563.95
53,18,10,48,3,2022-06-23,1,2969838.69,2969838.69
54,13,1,16,7,2023-04-06,1,740048.83,740048.83
55,33,15,50,1,2024-04-28,1,1325031.52,1325031.52
56,37,3,10,7,2022-01-12,1,4460898.09,4460898.09
57,38,10,52,11,2024-11-26,2,4381993.1,8763986.2
58,24,1,34,12,2025-05-04,1,4544891.41,4544891.41
59,14,11,28,9,2025-01-27,1,1607313.77,1607313.77
60,18,4,54,7,2024-12-03,2,1249995.83,2499991.66
61,11,2,35,1,2023-10-14,1,2548905.02,2548905.02
62,17,2,50,6,2022-11-10,1,591334.91,591334.91
63,31,4,35,8,2023-03-28,2,4423981.24,8847962.48
64,20,3,52,5,2022-12-05,1,2036093.24,2036093.24
65,39,12,43,1,2025-08-09,1,4871538.45,4871538.45
66,18,2,30,4,2024-02-16,1,3606615.01,3606615.01
67,13,11,48,6,2022-05-21,1,858925.64,858925.64
68,27,2,10,3,2024-08-27,2,3776120.59,7552241.18
69,27,7,11,7,2022-08-23,1,3035784.86,3035784.86
70,32,5,37,7,2024-02-08,1,1556368.38,1556368.38
71,17,7,7,7,2023-09-10,1,652469.21,652469.21
72,35,15,23,6,2025-09-16,1,3125010.14,3125010.14
73,16,11,7,5,2024-01-12,1,578338.7,578338.7
74,26,4,42,3,2025-01-07,1,3617812.61,3617812.61
75,32,6,16,9,2022-06-27,1,2789676.48,2789676.48
76,13,5,22,1,2024-11-09,1,651909.29,651909.29
77,37,1,6,3,2024-04-12,1,5167943.36,5167943.36
78,20,6,51,1,2023-08-26,1,4055860.37,4055860.37
79,11,5,34,4,2025-02-01,1,3527593.1,3527593.1
80,15,2,13,4,2025-01-02,1,3856238.77,3856238.77
81,41,9,38,12,2024-12-10,1,4024326.18,4024326.18
82,43,3,46,6,2023-07-16,1,4773291.68,4773291.68
83,3,14,49,6,2022-01-26,1,464733.25,464733.25
84,25,2,31,2,2022-05-14,1,2409930.26,2409930.26
85,17,1,37,11,2022-06-24,1,425194.54,425194.54
86,43,6,15,8,2024-02-19,1,1523073.06,1523073.06
87,19,15,40,1,2022-07-23,2,1567052.92,3134105.84
88,41,6,12,6,2024-07-11,1,1882578.3,1882578.3
89,19,2,5,7,2023-06-26,1,865814.15,865814.15
90,32,13,35,3,2022-11-02,1,3445775.09,3445775.09
91,34,3,37,10,2024-06-18,1,1117427.22,1117427.22
92,7,14,32,5,2025-05-09,1,4428643.65,4428643.65
93,2,2,44,9,2025-03-24,1,2655146.21,2655146.21
94,25,11,49,8,2024-08-21,1,832920.28,832920.28
95,21,15,53,6,2022-07-06,1,1305097.58,1305097.58
96,19,1,27,7,2023-08-14,1,1508275.24,1508275.24
97,27,1,17,4,2024-04-07,1,2399521.77,2399521.77
98,36,12,4,3,2024-01-11,1,2590729.77,2590729.77
99,26,1,9,11,2024-06-16,1,2474520.21,2474520.21
100,37,6,46,3,2025-02-02,1,3948502.73,3948502.73
101,1,11,8,7,2022-11-12,1,2309565.54,2309565.54
102,29,11,16,6,2022-10-24,1,611558.3,611558.3
103,39,12,51,9,2023-11-28,2,2948540.43,5897080.86
104,21,3,43,6,2022-11-01,1,1762864.86,1762864.86
105,20,3,13,12,2023-05-05,1,2283781.32,2283781.32
106,24,1,46,10,2024-02-20,1,1803140.17,1803140.17
107,16,15,3,2,2025-04-23,1,634269.06,634269.06
108,15,1,1,8,2024-04-19,1,1328309.8,1328309.8
109,37,10,40,7,2025-08-23,1,6682009.11,6682009.11
110,6,5,41,8,2024-09-26,1,1978340.79,1978340.79
111,37,6,15,8,2024-06-07,1,1420228.6,1420228.6
112,42,1,20,10,2022-04-05,1,1843687.99,1843687.99
113,14,4,27,6,2023-01-04,1,799817.71,799817.71
114,9,6,38,2,2024-08-02,2,1187674.64,2375349.28
115,26,12,19,7,2023-12-09,1,2339759.45,2339759.45
116,13,4,25,9,2022-08-07,1,863403.93,863403.93
117,11,15,54,7,2023-07-17,1,3061919.66,3061919.66
118,1,15,48,6,2023-08-10,1,4000749.37,4000749.37
119,32,2,17,7,2025-09-12,1,1828141.92,1828141.92
120,28,6,51,5,2025-04-01,1,1373542.38,1373542.38
121,16,3,13,2,2025-01-09,2,445523.63,891047.26
122,37,2,53,11,2023-08-28,1,3278966.93,3278966.93
123,30,14,15,9,2025-10-13,1,2104577.6,2104577.6
124,42,10,35,2,2024-01-25,1,1902055.69,1902055.69
125,27,11,7,7,2024-08-23,1,3457468.64,3457468.64
126,2,13,5,7,2024-08-08,1,4507337.5,4507337.5
127,39,1,20,12,2022-08-26,1,2109914.01,2109914.01
128,6,4,48,7,2025-01-11,1,3356074.47,3356074.47
129,18,4,32,7,2023-07-27,1,3191755.82,3191755.82
130,2,14,7,12,2024-01-23,1,2403253.66,2403253.66
131,23,3,8,11,2024-07-20,1,4859819.09,4859819.09
132,6,15,22,3,2022-09-15,1,1691152.03,1691152.03
133,32,5,53,9,2023-11-04,1,1726101.52,1726101.52
134,32,15,35,3,2024-10-19,1,3326681.18,3326681.18
135,14,9,48,1,2024-07-07,1,936254.36,936254.36
136,32,5,3,8,2025-09-11,1,2987771.35,2987771.35
