policy_id,policy_number,product_id,agent_id,region_id,customer_key,inception_date,expiry_date,policy_status,coverage_tier,sum_insured,cancelled_flag
1,POL00000001,3,114,1,CUST0000592,2025-01-24,2025-12-31,Cancelled,Standard,1547839.31,True
2,POL00000002,4,28,2,CUST0002809,2025-01-25,2025-12-31,Expired,Standard,1501443.07,False
3,POL00000003,4,64,2,CUST0000514,2025-03-02,2026-02-28,Expired,Standard,1584578.42,False
4,POL00000004,4,111,2,CUST0003200,2024-03-19,2025-02-28,Expired,Standard,937319.65,False
5,POL00000005,1,99,4,CUST0000267,2023-08-24,2024-07-31,Expired,Basic,597821.48,False
6,POL00000006,1,90,4,CUST0003427,2025-05-19,2026-04-30,Expired,Standard,509451.01,False
7,POL00000007,2,10,4,CUST0003013,2026-02-25,2027-01-31,Active,Standard,656581.45,False
8,POL00000008,5,47,1,CUST0000837,2025-04-19,2026-03-31,Expired,Basic,642706.5,False
9,POL00000009,10,25,2,CUST0001315,2025-09-26,2027-08-31,Active,Standard,1949601.8,False
10,POL00000010,6,10,2,CUST0001878,2024-10-10,2025-09-30,Expired,Premium,585003.49,False
11,POL00000011,1,24,1,CUST0003363,2024-10-20,2025-09-30,Expired,Basic,565868.69,False
12,POL00000012,5,102,3,CUST0002681,2024-07-31,2025-06-30,Cancelled,Standard,538834.6,True
13,POL00000013,2,40,4,CUST0001220,2024-10-13,2025-09-30,Expired,Standard,735177.61,False
14,POL00000014,8,71,2,CUST0001996,2025-01-19,2025-12-31,Expired,Standard,6710681.85,False
15,POL00000015,5,2,1,CUST0001682,2024-05-26,2025-04-30,Cancelled,Premium,506872.56,True
16,POL00000016,5,37,1,CUST0001113,2024-08-09,2025-07-31,Expired,Premium,567125.2,False
17,POL00000017,3,79,3,CUST0000297,2025-11-27,2026-10-31,Active,Standard,1960141.51,False
18,POL00000018,6,14,2,CUST0002213,2025-03-25,2026-02-28,Expired,Premium,721407.82,False
19,POL00000019,6,77,3,CUST0003501,2024-06-02,2025-05-31,Cancelled,Standard,834231.86,True
20,POL00000020,3,119,4,CUST0001647,2024-02-21,2025-01-31,Expired,Standard,1892162.78,False
21,POL00000021,9,29,4,CUST0003051,2023-08-06,2024-07-31,Cancelled,Basic,8795354.55,True
22,POL00000022,6,86,4,CUST0002958,2025-06-21,2026-05-31,Cancelled,Basic,908262.75,True
23,POL00000023,8,115,1,CUST0002443,2024-11-13,2025-10-31,Cancelled,Standard,6634722.08,True
24,POL00000024,1,81,4,CUST0001393,2024-11-23,2025-10-31,Expired,Standard,635607.73,False
25,POL00000025,1,104,4,CUST0002135,2023-12-30,2024-11-30,Expired,Standard,822381.38,False
26,POL00000026,2,120,2,CUST0000548,2024-12-02,2025-11-30,Expired,Standard,614156.94,False
27,POL00000027,2,27,4,CUST0002220,2024-10-27,2025-09-30,Expired,Basic,462761.93,False
28,POL00000028,3,3,3,CUST0001374,2025-11-05,2026-10-31,Active,Standard,1617899.47,False
29,POL00000029,2,47,4,CUST0000863,2024-02-15,2025-01-31,Expired,Standard,670792.41,False
30,POL00000030,5,71,1,CUST0000966,2025-10-11,2026-09-30,Active,Premium,449136.43,False
31,POL00000031,4,71,3,CUST0001023,2025-08-03,2026-07-31,Active,Premium,1406661.88,False
32,POL00000032,8,98,3,CUST0000741,2024-10-01,2025-09-30,Expired,Standard,6843723.0,False
33,POL00000033,4,17,2,CUST0002289,2023-08-04,2025-07-31,Expired,Basic,1046695.95,False
34,POL00000034,3,8,2,CUST0001251,2025-08-09,2026-07-31,Active,Standard,1113554.87,False
35,POL00000035,5,118,1,CUST0001660,2024-04-20,2025-03-31,Expired,Basic,389224.63,False
36,POL00000036,1,104,2,CUST0001959,2024-03-24,2025-02-28,Expired,Standard,837747.69,False
37,POL00000037,1,72,2,CUST0000988,2024-02-22,2025-01-31,Expired,Basic,605484.76,False
38,POL00000038,1,112,2,CUST0002847,2025-10-20,2026-09-30,Cancelled,Basic,873064.55,True
39,POL00000039,1,98,1,CUST0000923,2023-07-31,2024-06-30,Expired,Basic,713991.48,False
40,POL00000040,7,71,1,CUST0003414,2024-03-30,2025-02-28,Expired,Standard,519537.63,False
41,POL00000041,1,67,4,CUST0000594,2024-09-16,2025-08-31,Expired,Standard,824987.5,False
42,POL00000042,6,39,3,CUST0000866,2024-04-15,2025-03-31,Expired,Basic,576707.47,False
43,POL00000043,2,85,1,CUST0000497,2023-12-09,2024-11-30,Expired,Standard,507103.97,False
44,POL00000044,5,107,1,CUST0000575,2025-07-27,2026-06-30,Active,Standard,697121.07,False
45,POL00000045,1,67,1,CUST0001661,2026-02-23,2027-01-31,Active,Premium,855573.04,False
46,POL00000046,5,65,1,CUST0000203,2025-06-03,2026-05-31,Expired,Standard,642685.81,False
47,POL00000047,1,19,3,CUST0002102,2024-02-11,2025-01-31,Expired,Standard,706861.08,False
48,POL00000048,5,48,3,CUST0002268,2025-07-14,2026-06-30,Active,Standard,530104.07,False
49,POL00000049,1,44,3,CUST0000641,2024-11-19,2025-10-31,Expired,Premium,634728.29,False
50,POL00000050,1,82,4,CUST0000714,2024-03-15,2025-02-28,Expired,Premium,551527.07,False
