expense_month_id,accounting_month,product_id,region_id,acquisition_expense,operating_expense
1,2025-01-01,1,1,256198.19,413517.61
2,2025-01-01,1,2,199457.98,356484.64
3,2025-01-01,1,3,138528.41,258670.98
4,2025-01-01,1,4,184662.04,145252.06
5,2025-01-01,2,1,171309.99,330393.96
6,2025-01-01,2,2,258736.01,239212.25
7,2025-01-01,2,3,166311.4,297903.4
8,2025-01-01,2,4,111668.37,236492.49
9,2025-01-01,3,1,127774.66,396633.56
10,2025-01-01,3,2,224697.41,363914.67
11,2025-01-01,3,3,178295.71,249506.81
12,2025-01-01,3,4,243622.31,281016.89
13,2025-01-01,4,1,252829.11,379824.21
14,2025-01-01,4,2,110996.3,177021.58
15,2025-01-01,4,3,123548.2,252110.12
16,2025-01-01,4,4,255669.65,126211.35
17,2025-01-01,5,1,164941.5,299000.14
18,2025-01-01,5,2,238835.32,360323.72
19,2025-01-01,5,3,182387.05,258580.9
20,2025-01-01,5,4,216639.62,341084.41
21,2025-01-01,6,1,239756.51,393474.28
22,2025-01-01,6,2,122445.68,274576.95
23,2025-01-01,6,3,248343.03,227099.48
24,2025-01-01,6,4,125791.59,369495.22
25,2025-01-01,7,1,277403.74,185186.93
26,2025-01-01,7,2,92084.72,387535.67
27,2025-01-01,7,3,134597.61,311594.31
28,2025-01-01,7,4,157696.57,340674.18
29,2025-01-01,8,1,227747.87,233664.82
30,2025-01-01,8,2,197237.88,385961.9
31,2025-01-01,8,3,192886.53,133201.97
32,2025-01-01,8,4,130523.73,242821.76
33,2025-01-01,9,1,245946.29,212396.81
34,2025-01-01,9,2,175227.42,382429.48
35,2025-01-01,9,3,80717.48,140579.51
36,2025-01-01,9,4,164940.57,226639.81
37,2025-01-01,10,1,158623.63,224161.35
38,2025-01-01,10,2,112843.54,279146.34
39,2025-01-01,10,3,254388.27,240872.18
40,2025-01-01,10,4,153358.05,164280.89
41,2025-02-01,1,1,81162.23,230708.63
42,2025-02-01,1,2,190364.69,311516.94
43,2025-02-01,1,3,274636.42,321907.69
44,2025-02-01,1,4,279991.83,227025.37
45,2025-02-01,2,1,213772.16,282835.44
46,2025-02-01,2,2,169003.37,196252.46
47,2025-02-01,2,3,234601.1,393815.84
48,2025-02-01,2,4,199509.9,313346.47
49,2025-02-01,3,1,111803.58,353214.94
50,2025-02-01,3,2,173779.63,409704.21
51,2025-02-01,3,3,234901.1,225811.14
52,2025-02-01,3,4,219538.31,229480.1
53,2025-02-01,4,1,234770.95,258603.63
54,2025-02-01,4,2,85438.6,203621.92
55,2025-02-01,4,3,121532.84,392965.36
56,2025-02-01,4,4,223192.92,179274.22
57,2025-02-01,5,1,197684.06,384711.86
58,2025-02-01,5,2,168069.76,322169.25
59,2025-02-01,5,3,138266.95,141925.22
60,2025-02-01,5,4,229117.95,123520.86
61,2025-02-01,6,1,204946.85,149603.33
62,2025-02-01,6,2,92220.93,196686.0
63,2025-02-01,6,3,231207.67,222319.65
64,2025-02-01,6,4,229282.86,171961.19
65,2025-02-01,7,1,151737.1,369022.72
66,2025-02-01,7,2,135976.05,209928.4
67,2025-02-01,7,3,169786.02,388598.28
68,2025-02-01,7,4,226086.7,336676.43
69,2025-02-01,8,1,207399.2,324992.94
70,2025-02-01,8,2,216208.19,320985.13
71,2025-02-01,8,3,233644.83,128503.17
72,2025-02-01,8,4,218088.06,344010.05
73,2025-02-01,9,1,212208.99,331120.45
74,2025-02-01,9,2,201645.8,276837.86
75,2025-02-01,9,3,221972.99,309449.73
76,2025-02-01,9,4,189205.67,359838.52
77,2025-02-01,10,1,138735.52,187085.56
78,2025-02-01,10,2,246283.55,391248.62
79,2025-02-01,10,3,83408.54,408580.87
80,2025-02-01,10,4,233070.24,137925.04
81,2025-03-01,1,1,180033.64,193788.28
82,2025-03-01,1,2,201923.7,388830.73
83,2025-03-01,1,3,275446.7,212970.09
84,2025-03-01,1,4,183744.47,293644.6
85,2025-03-01,2,1,114903.01,393136.91
86,2025-03-01,2,2,162920.05,293211.07
87,2025-03-01,2,3,151960.44,282260.37
88,2025-03-01,2,4,225974.05,309681.28
89,2025-03-01,3,1,236838.53,296482.92
90,2025-03-01,3,2,97113.17,246907.92
91,2025-03-01,3,3,138153.37,295708.65
92,2025-03-01,3,4,127382.1,330536.99
93,2025-03-01,4,1,173906.34,324751.61
94,2025-03-01,4,2,169688.99,279817.54
95,2025-03-01,4,3,240794.99,271345.27
96,2025-03-01,4,4,215092.67,132408.61
97,2025-03-01,5,1,131474.01,350050.17
98,2025-03-01,5,2,144495.7,194314.09
99,2025-03-01,5,3,191300.93,309469.02
100,2025-03-01,5,4,97850.56,215988.63
101,2025-03-01,6,1,136476.56,198565.49
102,2025-03-01,6,2,148139.12,353455.58
103,2025-03-01,6,3,248795.41,121765.12
104,2025-03-01,6,4,160806.6,128821.27
105,2025-03-01,7,1,235937.77,241559.54
106,2025-03-01,7,2,137372.4,312871.53
107,2025-03-01,7,3,248895.43,181248.99
108,2025-03-01,7,4,235583.61,329443.08
109,2025-03-01,8,1,208346.22,399553.05
110,2025-03-01,8,2,209250.71,142099.74
111,2025-03-01,8,3,213516.85,388747.32
112,2025-03-01,8,4,200098.87,270702.33
113,2025-03-01,9,1,217036.95,347968.81
114,2025-03-01,9,2,187443.82,390115.85
115,2025-03-01,9,3,235399.42,319418.48
116,2025-03-01,9,4,82227.87,160773.66
117,2025-03-01,10,1,251517.12,311445.5
118,2025-03-01,10,2,235023.16,173512.33
119,2025-03-01,10,3,83509.39,243751.52
120,2025-03-01,10,4,151516.55,415866.13
121,2025-04-01,1,1,191122.82,284281.32
122,2025-04-01,1,2,224518.02,169313.73
123,2025-04-01,1,3,198428.47,159649.85
124,2025-04-01,1,4,268558.82,121191.58
125,2025-04-01,2,1,114695.53,273291.62
126,2025-04-01,2,2,250510.09,417992.64
127,2025-04-01,2,3,257058.13,215561.34
128,2025-04-01,2,4,204884.17,265247.51
129,2025-04-01,3,1,207197.02,143919.68
130,2025-04-01,3,2,198235.61,171058.06
131,2025-04-01,3,3,243495.83,159798.1
132,2025-04-01,3,4,162233.43,135153.04
133,2025-04-01,4,1,257691.72,337767.86
134,2025-04-01,4,2,170645.81,402591.85
135,2025-04-01,4,3,81670.76,342832.64
136,2025-04-01,4,4,94862.32,302893.67
137,2025-04-01,5,1,115556.12,408943.69
138,2025-04-01,5,2,265358.91,373562.19
139,2025-04-01,5,3,237200.98,400815.21
140,2025-04-01,5,4,264976.54,229816.56
141,2025-04-01,6,1,177950.32,259568.62
142,2025-04-01,6,2,279785.38,276983.19
143,2025-04-01,6,3,114994.01,327477.58
144,2025-04-01,6,4,145741.34,123172.69
145,2025-04-01,7,1,172930.76,329093.12
146,2025-04-01,7,2,271951.67,385666.41
147,2025-04-01,7,3,201323.16,338321.55
148,2025-04-01,7,4,241433.04,274684.14
149,2025-04-01,8,1,194346.57,147779.84
150,2025-04-01,8,2,105827.79,120778.16
151,2025-04-01,8,3,181143.13,290497.25
152,2025-04-01,8,4,112180.44,221951.83
153,2025-04-01,9,1,83124.86,257736.34
154,2025-04-01,9,2,203608.98,186550.32
155,2025-04-01,9,3,90019.75,192189.23
156,2025-04-01,9,4,124840.99,253093.93
157,2025-04-01,10,1,225868.73,149909.74
158,2025-04-01,10,2,267934.1,206417.83
159,2025-04-01,10,3,144317.83,343260.1
160,2025-04-01,10,4,263590.39,172285.8
161,2025-05-01,1,1,119522.67,281968.9
162,2025-05-01,1,2,124549.62,182576.43
163,2025-05-01,1,3,223745.97,168714.39
164,2025-05-01,1,4,236093.91,284592.58
165,2025-05-01,2,1,179917.19,384571.03
166,2025-05-01,2,2,185682.47,304279.3
167,2025-05-01,2,3,263819.66,126112.38
168,2025-05-01,2,4,140635.82,161798.6
169,2025-05-01,3,1,204022.73,131348.03
170,2025-05-01,3,2,242054.32,372003.77
171,2025-05-01,3,3,88980.45,346992.37
172,2025-05-01,3,4,80034.76,284108.29
173,2025-05-01,4,1,277894.25,343318.16
174,2025-05-01,4,2,263648.1,344967.41
175,2025-05-01,4,3,261968.76,243328.87
176,2025-05-01,4,4,223442.7,287809.59
177,2025-05-01,5,1,182581.97,206480.62
178,2025-05-01,5,2,144951.95,392316.66
179,2025-05-01,5,3,119165.41,316927.1
180,2025-05-01,5,4,229819.01,311377.84
181,2025-05-01,6,1,259045.79,307803.51
182,2025-05-01,6,2,154819.82,213680.93
183,2025-05-01,6,3,97601.76,177152.8
184,2025-05-01,6,4,101520.17,266260.83
185,2025-05-01,7,1,209986.95,225132.79
186,2025-05-01,7,2,207119.19,402237.16
187,2025-05-01,7,3,258822.52,139725.32
188,2025-05-01,7,4,209448.61,271148.22
189,2025-05-01,8,1,206622.67,131165.73
190,2025-05-01,8,2,250718.54,193132.44
191,2025-05-01,8,3,245555.72,122599.94
192,2025-05-01,8,4,123847.11,174646.62
193,2025-05-01,9,1,144017.18,149693.29
194,2025-05-01,9,2,261094.06,125161.01
195,2025-05-01,9,3,109446.74,160189.1
196,2025-05-01,9,4,252428.3,281449.21
197,2025-05-01,10,1,144125.24,391468.31
198,2025-05-01,10,2,266555.55,136345.43
199,2025-05-01,10,3,164932.17,327010.76
200,2025-05-01,10,4,144412.73,223123.25
201,2025-06-01,1,1,163084.75,337371.57
202,2025-06-01,1,2,205929.37,380895.55
203,2025-06-01,1,3,150867.71,120561.39
204,2025-06-01,1,4,110370.68,385810.64
