policy_month_id,policy_id,product_id,agent_id,region_id,accounting_month,written_premium,earned_premium,exposure_units,active_policy_flag,due_for_renewal_flag,renewed_flag
1,1,3,114,1,2025-01-01,11193.95,10818.12,0.948365,False,False,
2,1,3,114,1,2025-02-01,13060.46,11601.85,0.99804,False,False,
3,1,3,114,1,2025-03-01,13318.05,12076.99,0.858804,False,False,
4,1,3,114,1,2025-04-01,12713.49,11740.0,0.890331,False,False,
5,1,3,114,1,2025-05-01,12169.1,11763.66,0.881701,False,False,
6,1,3,114,1,2025-06-01,14018.7,12699.05,0.977484,False,False,
7,1,3,114,1,2025-07-01,12393.75,11031.4,0.973407,False,False,
8,1,3,114,1,2025-08-01,12498.73,11384.89,0.911179,False,False,
9,1,3,114,1,2025-09-01,13301.43,12551.42,0.861369,False,False,
10,1,3,114,1,2025-10-01,14156.97,12531.82,0.975381,False,False,
11,1,3,114,1,2025-11-01,13779.14,12524.54,0.939571,False,False,
12,1,3,114,1,2025-12-01,13546.69,12824.57,0.960654,False,False,
13,2,4,28,2,2025-01-01,42520.8,40463.68,0.879715,True,False,
14,2,4,28,2,2025-02-01,44159.94,40749.68,0.991157,True,False,
15,2,4,28,2,2025-03-01,45720.85,40240.39,0.964083,True,False,
16,2,4,28,2,2025-04-01,46172.15,43929.34,0.888746,True,False,
17,2,4,28,2,2025-05-01,48056.15,42965.35,0.984826,True,False,
18,2,4,28,2,2025-06-01,45815.08,40804.45,0.955103,True,False,
19,2,4,28,2,2025-07-01,44125.98,39953.87,0.950355,True,False,
20,2,4,28,2,2025-08-01,44151.47,39811.12,0.940427,True,False,
21,2,4,28,2,2025-09-01,44684.18,39558.04,0.884037,True,False,
22,2,4,28,2,2025-10-01,45836.7,42969.34,0.92298,True,False,
23,2,4,28,2,2025-11-01,49743.71,45473.81,0.980094,True,False,
24,2,4,28,2,2025-12-01,46879.47,44447.98,0.931027,True,True,True
25,3,4,64,2,2025-03-01,42723.44,40481.32,0.891402,True,False,
26,3,4,64,2,2025-04-01,44193.31,41988.68,0.96005,True,False,
27,3,4,64,2,2025-05-01,46130.14,43991.25,0.976294,True,False,
28,3,4,64,2,2025-06-01,46366.36,44027.35,0.851839,True,False,
29,3,4,64,2,2025-07-01,41555.22,39073.16,0.945358,True,False,
30,3,4,64,2,2025-08-01,43863.35,41309.05,0.865259,True,False,
31,3,4,64,2,2025-09-01,47753.03,43708.67,0.935713,True,False,
32,3,4,64,2,2025-10-01,49742.47,46342.83,0.929,True,False,
33,3,4,64,2,2025-11-01,43659.83,38614.28,0.988396,True,False,
34,3,4,64,2,2025-12-01,49798.13,47858.14,0.999134,True,False,
35,3,4,64,2,2026-01-01,44398.27,42470.22,0.866776,True,False,
36,3,4,64,2,2026-02-01,48912.46,46554.59,0.954029,True,True,True
37,4,4,111,2,2025-01-01,45021.67,42167.5,0.987024,True,False,
38,4,4,111,2,2025-02-01,42460.59,38821.57,0.98479,True,True,False
39,6,1,90,4,2025-05-01,28551.08,26377.44,0.86136,True,False,
40,6,1,90,4,2025-06-01,32695.47,30336.01,0.889229,True,False,
41,6,1,90,4,2025-07-01,27899.96,25369.55,0.904711,True,False,
42,6,1,90,4,2025-08-01,32516.01,31833.55,0.919431,True,False,
43,6,1,90,4,2025-09-01,32540.67,31234.95,0.965423,True,False,
44,6,1,90,4,2025-10-01,29660.71,28303.79,0.998663,True,False,
45,6,1,90,4,2025-11-01,32770.38,30614.56,0.850138,True,False,
46,6,1,90,4,2025-12-01,30741.58,29063.4,0.87078,True,False,
47,6,1,90,4,2026-01-01,31162.5,29636.51,0.983704,True,False,
48,6,1,90,4,2026-02-01,32948.8,31006.83,0.883888,True,False,
49,6,1,90,4,2026-03-01,33080.95,31884.98,0.915681,True,False,
50,6,1,90,4,2026-04-01,35881.97,32791.74,0.944896,True,True,False
51,7,2,10,4,2026-02-01,24214.59,22442.99,0.919099,True,False,
52,7,2,10,4,2026-03-01,24639.06,22831.6,0.850508,True,False,
53,7,2,10,4,2026-04-01,24068.99,22635.03,0.961558,True,False,
54,7,2,10,4,2026-05-01,22697.32,21279.46,0.941662,True,False,
55,7,2,10,4,2026-06-01,25249.66,22907.32,0.964993,True,True,False
56,8,5,47,1,2025-04-01,18319.06,17535.25,0.942451,True,False,
57,8,5,47,1,2025-05-01,19435.75,18617.77,0.869118,True,False,
58,8,5,47,1,2025-06-01,19369.49,18774.57,0.871483,True,False,
59,8,5,47,1,2025-07-01,21378.86,20158.57,0.851006,True,False,
60,8,5,47,1,2025-08-01,19082.9,16892.53,0.965819,True,False,
61,8,5,47,1,2025-09-01,19581.52,18347.32,0.977601,True,False,
62,8,5,47,1,2025-10-01,23207.14,22373.88,0.925415,True,False,
63,8,5,47,1,2025-11-01,20744.25,18975.83,0.900233,True,False,
64,8,5,47,1,2025-12-01,23943.42,23002.1,0.898385,True,False,
65,8,5,47,1,2026-01-01,22085.67,20035.39,0.910514,True,False,
66,8,5,47,1,2026-02-01,19886.31,19160.5,0.929863,True,False,
67,8,5,47,1,2026-03-01,21866.51,19672.86,0.917775,True,True,True
68,9,10,25,2,2025-09-01,40785.78,36015.97,0.942693,True,False,
69,9,10,25,2,2025-10-01,44504.56,42038.67,0.984405,True,False,
70,9,10,25,2,2025-11-01,47940.27,46210.69,0.853473,True,False,
71,9,10,25,2,2025-12-01,43416.38,41582.46,0.985178,True,False,
72,9,10,25,2,2026-01-01,48178.89,45630.31,0.977043,True,False,
73,9,10,25,2,2026-02-01,43119.88,39638.19,0.862531,True,False,
74,9,10,25,2,2026-03-01,44455.33,42571.64,0.877944,True,False,
75,9,10,25,2,2026-04-01,48199.67,46119.16,0.981973,True,False,
76,9,10,25,2,2026-05-01,50298.66,48020.76,0.951322,True,False,
77,9,10,25,2,2026-06-01,49342.49,44355.1,0.960823,True,True,False
78,10,6,10,2,2025-01-01,45160.0,39840.33,0.900514,True,False,
79,10,6,10,2,2025-02-01,40551.91,38225.74,0.975218,True,False,
80,10,6,10,2,2025-03-01,40913.02,37752.24,0.950895,True,False,
81,10,6,10,2,2025-04-01,47081.5,42469.43,0.929205,True,False,
82,10,6,10,2,2025-05-01,41177.89,37843.21,0.901764,True,False,
83,10,6,10,2,2025-06-01,42723.43,38208.69,0.905378,True,False,
84,10,6,10,2,2025-07-01,42281.94,41040.43,0.993062,True,False,
85,10,6,10,2,2025-08-01,48565.99,42756.0,0.901729,True,False,
86,10,6,10,2,2025-09-01,45854.89,41861.48,0.970005,True,True,True
87,11,1,24,1,2025-01-01,22865.5,20319.74,0.939986,True,False,
88,11,1,24,1,2025-02-01,25610.06,24160.75,0.886783,True,False,
89,11,1,24,1,2025-03-01,24739.11,23083.64,0.968045,True,False,
90,11,1,24,1,2025-04-01,25436.49,24218.32,0.888955,True,False,
91,11,1,24,1,2025-05-01,24009.64,22976.68,0.997959,True,False,
92,11,1,24,1,2025-06-01,28279.06,27009.57,0.950176,True,False,
93,11,1,24,1,2025-07-01,24954.12,24266.91,0.922099,True,False,
94,11,1,24,1,2025-08-01,26638.29,24951.98,0.984539,True,False,
95,11,1,24,1,2025-09-01,26728.27,24340.9,0.987384,True,True,True
96,12,5,102,3,2025-01-01,22470.79,20581.29,0.905157,False,False,
97,12,5,102,3,2025-02-01,23601.05,21801.09,0.980964,False,False,
