policy_id,policy_number,product_id,agent_id,region_id,customer_key,inception_date,expiry_date,policy_status,coverage_tier,sum_insured,cancelled_flag
1,POL00000001,9,228,3,CUST0079697,2026-01-30,2026-12-31,Active,Basic,5263281.09,False
2,POL00000002,1,203,4,CUST0050881,2024-05-03,2025-04-30,Expired,Premium,588167.04,False
3,POL00000003,5,33,4,CUST0014648,2024-03-10,2025-02-28,Expired,Premium,490622.98,False
4,POL00000004,7,363,2,CUST0051379,2025-07-21,2026-06-30,Active,Premium,435937.93,False
5,POL00000005,1,35,3,CUST0000899,2025-12-12,2027-11-30,Active,Standard,887733.94,False
6,POL00000006,1,386,3,CUST0010949,2024-01-28,2024-12-31,Expired,Standard,570145.77,False
7,POL00000007,9,80,3,CUST0015956,2025-07-21,2026-06-30,Active,Premium,9025717.63,False
8,POL00000008,1,44,2,CUST0056885,2024-01-15,2024-12-31,Expired,Standard,754459.77,False
9,POL00000009,3,124,3,CUST0048467,2025-09-21,2026-08-31,Active,Standard,1996638.53,False
10,POL00000010,3,255,2,CUST0062237,2025-10-06,2026-09-30,Active,Standard,2035286.94,False
11,POL00000011,1,115,2,CUST0015359,2025-04-06,2026-03-31,Expired,Basic,744122.13,False
12,POL00000012,6,255,1,CUST0097059,2023-07-05,2025-06-30,Expired,Standard,859599.45,False
13,POL00000013,6,23,1,CUST0073374,2024-03-11,2025-02-28,Expired,Standard,1117957.2,False
14,POL00000014,2,180,4,CUST0096071,2024-05-19,2025-04-30,Expired,Standard,604650.86,False
15,POL00000015,7,90,4,CUST0093830,2025-12-29,2026-11-30,Active,Standard,404590.26,False
16,POL00000016,1,298,1,CUST0091791,2025-09-23,2026-08-31,Active,Premium,828350.69,False
17,POL00000017,1,30,4,CUST0037172,2025-05-24,2026-04-30,Expired,Basic,791066.0,False
18,POL00000018,4,246,2,CUST0067620,2025-05-11,2026-04-30,Cancelled,Standard,1443826.85,True
19,POL00000019,10,12,3,CUST0024380,2026-02-04,2027-01-31,Cancelled,Standard,1565643.99,True
20,POL00000020,1,266,2,CUST0010330,2025-08-05,2026-07-31,Active,Premium,886577.94,False
21,POL00000021,1,109,3,CUST0031739,2024-04-06,2025-03-31,Expired,Standard,735794.77,False
22,POL00000022,4,132,4,CUST0076823,2025-11-21,2026-10-31,Active,Basic,1450696.11,False
23,POL00000023,7,157,1,CUST0092550,2023-11-30,2024-10-31,Expired,Standard,325670.45,False
24,POL00000024,1,8,2,CUST0024552,2026-02-20,2027-01-31,Active,Standard,709490.63,False
25,POL00000025,2,327,3,CUST0071894,2024-04-22,2025-03-31,Expired,Standard,670615.52,False
26,POL00000026,6,163,4,CUST0029614,2025-07-26,2027-06-30,Active,Standard,1015365.43,False
27,POL00000027,2,25,1,CUST0058557,2025-09-18,2027-08-31,Active,Standard,430833.67,False
28,POL00000028,1,43,2,CUST0007078,2025-10-12,2026-09-30,Active,Standard,735588.06,False
29,POL00000029,1,370,1,CUST0073448,2024-06-02,2025-05-31,Expired,Basic,574848.3,False
30,POL00000030,3,66,3,CUST0038038,2025-02-26,2026-01-31,Expired,Basic,2034221.72,False
31,POL00000031,3,190,1,CUST0017818,2023-12-11,2024-11-30,Expired,Premium,1358286.29,False
32,POL00000032,8,197,3,CUST0036014,2023-08-10,2024-07-31,Cancelled,Premium,3733269.35,True
33,POL00000033,5,272,1,CUST0018796,2023-12-15,2024-11-30,Expired,Premium,693975.06,False
34,POL00000034,5,14,3,CUST0026601,2023-10-11,2024-09-30,Cancelled,Basic,552001.3,True
35,POL00000035,10,172,3,CUST0018883,2024-02-08,2025-01-31,Expired,Standard,2597732.2,False
36,POL00000036,3,364,1,CUST0089316,2025-10-20,2026-09-30,Cancelled,Premium,1097318.58,True
37,POL00000037,3,222,4,CUST0033601,2025-08-22,2026-07-31,Active,Standard,1370799.65,False
38,POL00000038,9,118,4,CUST0098691,2023-09-01,2024-08-31,Expired,Standard,9106913.89,False
39,POL00000039,1,286,4,CUST0027191,2026-01-26,2026-12-31,Active,Basic,546855.26,False
40,POL00000040,6,216,3,CUST0097961,2024-10-04,2026-09-30,Active,Premium,747338.4,False
41,POL00000041,6,334,4,CUST0095796,2024-03-11,2025-02-28,Expired,Basic,919406.79,False
42,POL00000042,1,123,1,CUST0025154,2024-06-22,2025-05-31,Expired,Basic,701625.42,False
43,POL00000043,3,28,1,CUST0054234,2026-02-28,2027-01-31,Active,Standard,1135737.02,False
44,POL00000044,1,58,3,CUST0042572,2025-11-17,2026-10-31,Active,Basic,697871.27,False
45,POL00000045,1,129,3,CUST0082216,2023-11-26,2025-10-31,Expired,Standard,798603.38,False
46,POL00000046,3,177,2,CUST0053241,2025-12-01,2026-11-30,Active,Standard,1587941.11,False
47,POL00000047,2,272,1,CUST0011000,2024-08-22,2025-07-31,Expired,Standard,521478.23,False
48,POL00000048,6,393,1,CUST0000837,2026-02-26,2027-01-31,Active,Standard,943892.5,False
49,POL00000049,8,75,1,CUST0073279,2025-05-24,2026-04-30,Expired,Basic,5579249.66,False
50,POL00000050,7,15,4,CUST0019541,2026-01-07,2026-12-31,Active,Standard,527845.19,False
51,POL00000051,1,281,1,CUST0078688,2024-05-30,2025-04-30,Expired,Basic,862153.98,False
52,POL00000052,1,189,3,CUST0046213,2023-07-11,2024-06-30,Expired,Standard,508069.79,False
53,POL00000053,1,70,1,CUST0021001,2024-04-11,2025-03-31,Cancelled,Premium,483916.09,True
