expense_month_id,accounting_month,product_id,region_id,acquisition_expense,operating_expense
1,2025-01-01,1,1,240244.78,288862.06
2,2025-01-01,1,2,140268.39,244610.81
3,2025-01-01,1,3,87735.34,243891.57
4,2025-01-01,1,4,110046.34,319371.65
5,2025-01-01,2,1,89302.77,257208.01
6,2025-01-01,2,2,158695.82,210509.88
7,2025-01-01,2,3,173378.14,292620.02
8,2025-01-01,2,4,135012.88,317821.47
9,2025-01-01,3,1,85940.52,292407.89
10,2025-01-01,3,2,248097.42,379381.82
11,2025-01-01,3,3,115418.68,282929.3
12,2025-01-01,3,4,263453.81,248359.93
13,2025-01-01,4,1,263188.66,290202.27
14,2025-01-01,4,2,162879.16,146847.9
15,2025-01-01,4,3,187059.51,142475.21
16,2025-01-01,4,4,162430.64,229004.53
17,2025-01-01,5,1,209224.81,143075.97
18,2025-01-01,5,2,100418.43,204467.09
19,2025-01-01,5,3,143982.96,159387.56
20,2025-01-01,5,4,235557.05,271371.42
21,2025-01-01,6,1,124388.29,345150.63
22,2025-01-01,6,2,200346.34,261052.0
23,2025-01-01,6,3,90709.52,237778.63
24,2025-01-01,6,4,173285.78,259388.58
25,2025-01-01,7,1,244843.17,367766.88
26,2025-01-01,7,2,91096.69,176297.41
27,2025-01-01,7,3,86057.56,240135.94
28,2025-01-01,7,4,150345.03,333218.01
29,2025-01-01,8,1,244451.7,334718.85
30,2025-01-01,8,2,205398.35,153664.86
31,2025-01-01,8,3,88639.95,167062.63
32,2025-01-01,8,4,184020.55,195716.41
33,2025-01-01,9,1,87170.34,292843.23
34,2025-01-01,9,2,184945.78,255217.34
35,2025-01-01,9,3,235681.01,336812.29
36,2025-01-01,9,4,112470.91,205120.48
37,2025-01-01,10,1,151482.07,178934.21
38,2025-01-01,10,2,99398.8,353949.85
39,2025-01-01,10,3,252838.78,398279.59
40,2025-01-01,10,4,167562.15,170811.75
41,2025-02-01,1,1,206186.32,140141.01
42,2025-02-01,1,2,265167.45,208548.67
43,2025-02-01,1,3,192532.58,285139.42
44,2025-02-01,1,4,105422.87,404095.91
45,2025-02-01,2,1,124327.66,245742.33
46,2025-02-01,2,2,151792.99,220183.12
47,2025-02-01,2,3,141547.07,229921.9
48,2025-02-01,2,4,186339.44,253245.39
49,2025-02-01,3,1,107814.8,136379.41
50,2025-02-01,3,2,173848.41,328185.0
51,2025-02-01,3,3,150498.41,405345.85
52,2025-02-01,3,4,212295.97,349992.44
53,2025-02-01,4,1,270700.79,409244.78
54,2025-02-01,4,2,220835.9,265538.93
55,2025-02-01,4,3,138003.54,180898.53
56,2025-02-01,4,4,110430.66,362209.57
57,2025-02-01,5,1,276532.25,318096.69
58,2025-02-01,5,2,266886.05,339580.57
59,2025-02-01,5,3,158621.79,266384.52
60,2025-02-01,5,4,145191.78,136236.89
61,2025-02-01,6,1,132247.18,168623.14
62,2025-02-01,6,2,145101.86,333048.06
63,2025-02-01,6,3,255732.33,406863.9
64,2025-02-01,6,4,153009.06,199810.99
65,2025-02-01,7,1,211238.93,203577.87
66,2025-02-01,7,2,114341.49,172098.14
67,2025-02-01,7,3,98829.94,143302.06
68,2025-02-01,7,4,190471.92,416063.18
69,2025-02-01,8,1,150011.59,232614.25
70,2025-02-01,8,2,214345.18,342044.32
71,2025-02-01,8,3,159906.88,134622.87
72,2025-02-01,8,4,241124.4,192832.22
73,2025-02-01,9,1,214941.91,418278.4
74,2025-02-01,9,2,154817.59,376786.83
75,2025-02-01,9,3,85725.7,317371.36
76,2025-02-01,9,4,241988.21,318181.26
77,2025-02-01,10,1,231986.15,184023.77
78,2025-02-01,10,2,191666.24,378691.45
79,2025-02-01,10,3,98001.05,307081.23
80,2025-02-01,10,4,117609.65,214518.29
81,2025-03-01,1,1,86925.62,285776.35
82,2025-03-01,1,2,123412.33,222642.78
83,2025-03-01,1,3,160608.93,257248.0
84,2025-03-01,1,4,234051.49,220052.76
85,2025-03-01,2,1,261480.75,205029.56
86,2025-03-01,2,2,261290.37,310050.09
87,2025-03-01,2,3,251918.08,386435.19
88,2025-03-01,2,4,154424.04,418011.29
89,2025-03-01,3,1,239195.23,349069.13
90,2025-03-01,3,2,222233.85,369174.02
91,2025-03-01,3,3,210508.92,167075.16
92,2025-03-01,3,4,205181.0,238354.9
93,2025-03-01,4,1,189907.49,306009.1
94,2025-03-01,4,2,152818.68,214859.14
95,2025-03-01,4,3,184362.8,369726.21
96,2025-03-01,4,4,174324.3,253137.02
97,2025-03-01,5,1,90161.13,246337.48
98,2025-03-01,5,2,267459.34,123888.11
99,2025-03-01,5,3,275694.64,417914.68
100,2025-03-01,5,4,272152.25,334442.1
101,2025-03-01,6,1,183316.43,176699.96
102,2025-03-01,6,2,267001.94,351810.2
103,2025-03-01,6,3,262328.82,158497.68
104,2025-03-01,6,4,200451.43,143859.78
105,2025-03-01,7,1,194836.27,294184.52
106,2025-03-01,7,2,240536.08,348912.8
107,2025-03-01,7,3,209388.01,315026.96
108,2025-03-01,7,4,190728.79,257782.34
109,2025-03-01,8,1,215362.22,220189.55
110,2025-03-01,8,2,187237.5,172194.65
111,2025-03-01,8,3,101633.25,136883.32
112,2025-03-01,8,4,169316.76,139824.47
113,2025-03-01,9,1,209055.43,386769.69
114,2025-03-01,9,2,179288.07,160073.14
115,2025-03-01,9,3,116455.74,248981.26
116,2025-03-01,9,4,97766.02,348354.22
117,2025-03-01,10,1,205174.81,231000.86
118,2025-03-01,10,2,94631.45,252881.27
119,2025-03-01,10,3,137270.28,399037.99
120,2025-03-01,10,4,154486.24,375611.93
121,2025-04-01,1,1,214266.71,374118.35
122,2025-04-01,1,2,190687.74,400196.97
123,2025-04-01,1,3,200251.76,153815.06
124,2025-04-01,1,4,241997.35,201621.68
125,2025-04-01,2,1,110771.35,293095.08
126,2025-04-01,2,2,203762.85,307489.79
127,2025-04-01,2,3,134449.56,184696.89
